text,label
Exactly what the #LeftistLibTards wanted to happen. Try are a #Corrupt and #Miserable Party. URL,0
  You really have to let it go. He's going to get confirmed.  You can continue to kill babies  and gun violence will continue despite gun control.,1
 except antifa don’t fit any of the archetypes of fascism? if your definition of fascism is “wears a mask and is violent” then you should also include: -riot cops -the military -right wing demonstrators,0
 lemme rap on that shit. I'll do a video floatin downstream in a coffin like in horrorland lol,1
#NickFerrari seems to be intentionally misleading his viewers?!  Suggesting paedophiles among whites are the same percentage as #Muslims and that we are only angry at one? No Mr Ferrari .. I think not!  #LBC #LBCRadio #MAGA #MCGA #MEGA #MBGA #Conservatives #Patriots URL,1
" The 1st word Rian Johnson used is regret"", and he asked about fear. So Rian Johnson must have thought of these 2 emotions for Ben ... I conclude that Ben regrets that Rey didn't accept his offre and fears to be alone and that she doesn't love him as he does 😋#Reylo""",0
  Before this scumbag considers running for president I want him to publicly swear under oath that when he was in school he never tried to cop a feel as these liberals like to show themselves as pure as the driven snow.,0
                                                 There is something very wrong with her. She went ballistic when I wrote something that did not suite her. Accusing me of very bad things. She is dangerous.,0
  I don't understand how it's racist tho..,0
  I think we have to confer with Messiah. I think only she is powerful enough to turn this tide. She did empower him to win the last two Majors.,0
  I hate  so much now. They fucked up the whole franchise.,1
 You  speak the Truth about =&gt; #Louis Farrakhan &lt;= ... he is a raging anti-Semite &amp; racist.,1
  How do I connect my USB token to an iPhone?,0
6d/. They won't be able to make it after January! There will be millions HOMELESS and STARVING! You will see a LOT MORE BEGGING on the STREETS. People living in the woods. THIS is so the rich   #Conservatives #Christians #WhiteSupremacists #MAGA #MAGAVeterans #MAGATalk URL,0
 Omfg... 😂,1
  can go straight the crapper. I’ll never support another team again.,1
 I think he will get decent minutes win the champions league rotation coming into affect. He’s much higher up the pecking order than Herrera or Mctomminay. He is essentially the 4th choice for a 3 man midfield. So first option when resting or even more like today and last week!,0
 Hahaha what great comedy. Liberals are freaking hysterical,0
  which converted Christians also have.  which Muslims also have  which left-leaning liberals also have,0
   wow  are these the types of folks we want teaching the already confused millennials?,0
  The liberals won’t investigate because they know there’s nothing there. They’d rather have someone else do it so when nothing is found the liberals can blame them.,0
          Don’t forget ,0
 Sounds like hot lesbian sex to me.,1
#pugchat Just wanted to let you know I may not be able to see my pugchat buddies tonight. Grandma is working late plus she is going by the bakery to order the cake for my mom’s birthday this weekend. 🙂,0
   Great. Here’s how today has gone: Floris wanted to spank me. Leah wanted to stab me. Curtis won’t back me up. Adam still looks great at 67 or however old as fuck he is... KL has a bigger dick than me but she’s a she...he🤔...she?!? URL,1
  Obama wanted liberals &amp; illegals to move into red states,0
 It seems that the more often these types of events occur the more the gun control and safety debate heats up. I believe eventually state legislatures will pass laws providing schools with better protection but it is sad that these events have to occur in order to push the agenda.,1
  Twitter will be banning a lot more conservatives or anyone that speaks out about the Dems or Liberals. Closer to the elections,1
. : 7 Myths of Democratic Socialism Debunked  URL  #MAGA #KAG,1
 ANTIFA WANNABE ☝☝☝☝,0
 Because only the unhinged liberals that are scared they won't be able to murder their babies are demanding this. The other normal rational people with common sense can see this is just a fake accusation to stall.,1
  Oh nooooos!!!   I hope you are safe during this storm!!,0
  OurCountry is being saved from evil slugs like Hillary Clinton.  The Deep State is going down and I personally can't wait for Hillary to be brought in front of a Military Tribunal.  The penalty for treason is death I believe.,1
 By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !,1
 Fuck a drug test,1
  Awww 😥😥😥 CUPCAKES SUCK IT UP. SHE LOST😡😡😡😡 GET OVER IT 😡😡😡,0
 Threats from who? Are liberals threatening her if she does not follow the playbook?🤔,0
 LMFAOOO baby you just as young as she is😭😭😭,0
  Dolt. You’ve become another nail for Hammer Trump.,1
 Maybe they will Havana an Antifa race war &amp; slam the dildos out of each others butts.,1
 I can't wait for Kavanaugh to throw gun control in the garbage can where it belongs.,1
...when Liberals/Democrats punish &amp; slander people for simply being honest and truthful? That's when you know its time to #WalkAway and vote Republican. URL,0
 Yeahh tbh most that do are weirdos and think about sex in a very weird way.,1
  Liberals have always wanted to get their hands in your wallet and and now they want to get them in your pants.,0
