text,label,label_text
"  "" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr "" "" """,1,white_grievance
" rt : tune in today's jmt for my interview w / robert spencer on  "" the complete infidel's guide to iran ! "" "" """,1,irony
: : hate posters ? you want hate buddy ? read the koran . goo ...,1,white_grievance
: hunt for white women : black racist serial killer confesses to 41 murders,1,stereotypical
: looks like he was a fan of the islamic jew-hate reza aslan peddles as critique of i ...,1,stereotypical
antiwhites hate white solidarity . their hate for white european self preservation knows no,1,white_grievance
are forever white racemass murderers ! ! !,1,white_grievance
i think white people are waking up in unprecedented numbers,1,white_grievance
i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race,1,incitement
its a planned growth of africans & a planned elimination of whites  #whitegenocide  #kalergi  #maga #tcot #trump #altright #sjw #buildawall,1,white_grievance
its ok to be white - the book,1,white_grievance
now it is full of jew and government infiltrators .,1,stereotypical
only racist if you're white  this just makes you smart .,1,white_grievance
prof kmac is right all along that jews have been manipulate white-euro people,1,stereotypical
they say they are anti-racist  but what they really are is anti-white ! via,1,white_grievance
"  "" : latest unhinged anti-white rant at #ferguson "" "" ugly black lesbian . #negrogeddon """,1,stereotypical
"  "" : new zealand : white faces will soon be a minority via "" "" """,1,incitement
"  "" optics frat "" "" - i . e .  "" "" i'm interested in being a spectacle for the anti-white media  not organizing white people into a cohesive pro-white movement . "" "" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """,1,incitement
"  "" we must have an all-white america ... in which our children and our grandchildren will play and go to school with other white children . "" "" - glr """,1,incitement
"  "" what our bros & sis experiencing in me : what is coming for us in west . must rise up and awaken . "" "" #bgun """,1,incitement
" african  "" refugee "" "" was only here nine days before raping a woman | full story : """,1,stereotypical
" and of course   "" anti-racist "" "" is a code word for "" "" anti-white "" "" . "" "" self-hating jews "" "" are nothing compared with self-hating white people . """,1,white_grievance
" i like jared taylor .  "" he white "" "" """,1,incitement
" race cucks like paul ryan should be banished to live in a  "" diverse "" "" neighbrhd if they want t spout such nonsense """,1,irony
" right ? what good is  "" white supremacy "" "" if it leads to a white minority . """,1,other
" rt  "" : proud white women speak out against white genocide ( video ) via "" "" """,1,white_grievance
" rt  "" i hate you all "" "" - racist note from the black boy who raped his white teacher & slit her throat via #wr """,1,stereotypical
" rt : how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel # r ... """,1,stereotypical
" rt : white racialists rally in edmonton  alberta and london  ontario as a commemoration of  "" white pride worldwide day "" "" ... """,1,incitement
